원자재코드,"생산작업지시구분(생산:A,생산제외:D)",작업지시타입(일반:WO/재투입:WR),"사업단위(평택:20000,태안:60000등)",생산작업요청일자,LOT번호,분할순번,제품코드,제품BOM차수,원자재투입순번,원자재명,원자재탱크번호,투입지시중량,투입지시비율,투입지시오차비율,투입지시단위,시방원재료적요,추가투입량(생산자판단),정지중량(유속흐름제어),스텝그룹넘버,비고
SR68222,A,WO,20000,2021-02-25,PCM221022519,0,PEMA063061300,136,3,소포제(MR-130),0,10,0.2,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-25,PCM221022523,0,PEMA043031800,22,1,사용수,30,4844,69.2,0,KG,사용수+VK교반 후 PCA투입,14,60,1,
SR13801,A,WO,20000,2021-02-25,PCM221022523,0,PEMA043031800,22,2,액상리그닌,3,7,0.1,0,KG,,0,0,1,
SR16600,A,WO,20000,2021-02-25,PCM221022523,0,PEMA043031800,22,9,RA-300S,1,73.5,1.05,0,KG,,0,5,1,
SR34364,A,WO,20000,2021-02-25,PCM221022523,0,PEMA043031800,22,7,PEMA-550XD,15,588,8.4,0,KG,,0,10,1,
SR35500,A,WO,20000,2021-02-25,PCM221022523,0,PEMA043031800,22,6,PEMA-500FR,13,882,12.6,0,KG,,0,10,1,
SR35904,A,WO,20000,2021-02-25,PCM221022523,0,PEMA043031800,22,8,Urea-20%,4,504,7.2,0,KG,,0,40,1,
SR35905,A,WO,20000,2021-02-25,PCM221022523,0,PEMA043031800,22,5,VK1000,0,77,1.1,0,KG,,0,0,1,
SR38117,A,WO,20000,2021-02-25,PCM221022523,0,PEMA043031800,22,3,PC소포제,0,7,0.1,0,KG,,0,0,1,
SR68222,A,WO,20000,2021-02-25,PCM221022523,0,PEMA043031800,22,4,소포제(MR-130),0,17.5,0.25,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-25,PCMB21022520,0,PEMA073061300,157,1,사용수,30,3364.5,67.29,0,KG,재활용금지,12.5,60,1,
SR13801,A,WO,20000,2021-02-25,PCMB21022520,0,PEMA073061300,157,2,액상리그닌,3,5,0.1,0,KG,,0,0,1,
SR16600,A,WO,20000,2021-02-25,PCMB21022520,0,PEMA073061300,157,6,RA-300S,1,75,1.5,0,KG,,0,5,1,
SR35210,A,WO,20000,2021-02-25,PCMB21022520,0,PEMA073061300,157,4,PEMA-WRE-600(5,0,585,11.7,0,KG,,0,0,1,
SR35556,A,WO,20000,2021-02-25,PCMB21022520,0,PEMA073061300,157,5,PEMA-630XR,11,613,12.26,0,KG,,0,15,1,
SR35903,A,WO,20000,2021-02-25,PCMB21022520,0,PEMA073061300,157,7,PCA3000,10,350,7,0,KG,마지막투입요망!!,0,30,1,
SR68222,A,WO,20000,2021-02-25,PCMB21022520,0,PEMA073061300,157,3,소포제(MR-130),0,7.5,0.15,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-25,PR1021022503,0,PEMA023033303,151,1,사용수,30,11184,74.56,0,KG,,27,60,1,
SR13801,A,WO,20000,2021-02-25,PR1021022503,0,PEMA023033303,151,2,액상리그닌,3,15,0.1,0,KG,,0,30,1,
SR35218,A,WO,20000,2021-02-25,PR1021022503,0,PEMA023033303,151,4,WRE-580FX(55%),16,2577,17.18,0,KG,,0,15,1,
SR35225,A,WO,20000,2021-02-25,PR1021022503,0,PEMA023033303,151,5,WRE-550T,21,1212,8.08,0,KG,,0,15,1,
SR38117,A,WO,20000,2021-02-25,PR1021022503,0,PEMA023033303,151,3,PC소포제,0,12,0.08,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-25,SP1021022501,0,TSN4012001730,1,1,사용수,30,3296.5,65.93,0,KG,,3.5,60,1,
SR34364,A,WO,20000,2021-02-25,SP1021022501,0,TSN4012001730,1,5,PEMA-550XD,15,320,6.4,0,KG,,0,10,1,
SR35500,A,WO,20000,2021-02-25,SP1021022501,0,TSN4012001730,1,4,PEMA-500FR,13,800,16,0,KG,,0,10,1,
SR35556,A,WO,20000,2021-02-25,SP1021022501,0,TSN4012001730,1,3,PEMA-630XR,11,580,11.6,0,KG,,0,15,1,
SR38117,A,WO,20000,2021-02-25,SP1021022501,0,TSN4012001730,1,2,PC소포제,0,3.5,0.07,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-25,SR2021022507,0,PEMA043110500,43,1,사용수,30,534.8,53.48,0,KG,,2.2,45,1,
SR13801,A,WO,20000,2021-02-25,SR2021022507,0,PEMA043110500,43,2,액상리그닌,3,0.5,0.05,0,KG,,0,0,1,
SR16600,A,WO,20000,2021-02-25,SR2021022507,0,PEMA043110500,43,7,RA-300S,1,3,0.3,0,KG,,0,5,1,
SR35224,A,WO,20000,2021-02-25,SR2021022507,0,PEMA043110500,43,5,WRE-770,18,260,26,0,KG,,0,20,1,
SR35904,A,WO,20000,2021-02-25,SR2021022507,0,PEMA043110500,43,6,Urea-20%,4,200,20,0,KG,,0,40,1,
SR38117,A,WO,20000,2021-02-25,SR2021022507,0,PEMA043110500,43,3,PC소포제,0,0.7,0.07,0,KG,,0,0,1,
SR68222,A,WO,20000,2021-02-25,SR2021022507,0,PEMA043110500,43,4,소포제(MR-130),0,1,0.1,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-25,SR2021022508,0,PEMA043110500,42,1,사용수,30,534.8,53.48,0,KG,,2.2,45,1,
SR13801,A,WO,20000,2021-02-25,SR2021022508,0,PEMA043110500,42,2,액상리그닌,3,0.5,0.05,0,KG,,0,0,1,
SR16600,A,WO,20000,2021-02-25,SR2021022508,0,PEMA043110500,42,7,RA-300S,1,3,0.3,0,KG,,0,5,1,
SR35224,A,WO,20000,2021-02-25,SR2021022508,0,PEMA043110500,42,5,WRE-770,18,260,26,0,KG,,0,20,1,
SR35904,A,WO,20000,2021-02-25,SR2021022508,0,PEMA043110500,42,6,Urea-20%,4,200,20,0,KG,,0,40,1,
SR38117,A,WO,20000,2021-02-25,SR2021022508,0,PEMA043110500,42,3,PC소포제,0,0.7,0.07,0,KG,,0,0,1,
SR68222,A,WO,20000,2021-02-25,SR2021022508,0,PEMA043110500,42,4,소포제(MR-130),0,1,0.1,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-25,SR2021022512,0,PEMA023041301,27,1,사용수,30,2945,58.9,0,KG,,10,60,1,
SR13801,A,WO,20000,2021-02-25,SR2021022512,0,PEMA023041301,27,2,액상리그닌,3,5,0.1,0,KG,,0,0,1,
SR35218,A,WO,20000,2021-02-25,SR2021022512,0,PEMA023041301,27,4,WRE-580FX(55%),16,1545,30.9,0,KG,,0,15,1,
SR35758,A,WO,20000,2021-02-25,SR2021022512,0,PEMA023041301,27,5,M30,7,500,10,0,KG,마지막에 투입해주세요.,0,30,1,
SR38117,A,WO,20000,2021-02-25,SR2021022512,0,PEMA023041301,27,3,PC소포제,0,5,0.1,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-25,SR2021022532,0,PEMA033072700,35,1,사용수,30,2810.5,56.21,0,KG,,8.5,45,1,
SR13801,A,WO,20000,2021-02-25,SR2021022532,0,PEMA033072700,35,2,액상리그닌,3,5,0.1,0,KG,,0,0,1,
SR16002,A,WO,20000,2021-02-25,SR2021022532,0,PEMA033072700,35,4,글루콘산소다,2,150,3,0,KG,,0,35,1,
SR16600,A,WO,20000,2021-02-25,SR2021022532,0,PEMA033072700,35,8,RA-300S,1,37.5,0.75,0,KG,,0,5,1,
SR35217,A,WO,20000,2021-02-25,SR2021022532,0,PEMA033072700,35,7,SRE-110(50%),24,714,14.28,0,KG,,0,15,1,
SR35224,A,WO,20000,2021-02-25,SR2021022532,0,PEMA033072700,35,5,WRE-770,18,245,4.9,0,KG,,0,20,1,
SR35225,A,WO,20000,2021-02-25,SR2021022532,0,PEMA033072700,35,6,WRE-550T,21,1034.5,20.69,0,KG,,0,15,1,
SR38117,A,WO,20000,2021-02-25,SR2021022532,0,PEMA033072700,35,3,PC소포제,0,3.5,0.07,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-25,SR3F21022514,0,PEMA013038600,4,1,사용수,30,2435.2,60.88,0,KG,,4.8,60,1,
SR13801,A,WO,20000,2021-02-25,SR3F21022514,0,PEMA013038600,4,2,액상리그닌,3,2,0.05,0,KG,,0,0,1,
SR16600,A,WO,20000,2021-02-25,SR3F21022514,0,PEMA013038600,4,6,RA-300S,1,40,1,0,KG,,0,5,1,
SR35224,A,WO,20000,2021-02-25,SR3F21022514,0,PEMA013038600,4,4,WRE-770,18,1064,26.6,0,KG,,0,20,1,
SR35228,A,WO,20000,2021-02-25,SR3F21022514,0,PEMA013038600,4,5,SRE-200SD-T,14,456,11.4,0,KG,,0,10,1,
SR38117,A,WO,20000,2021-02-25,SR3F21022514,0,PEMA013038600,4,3,PC소포제,0,2.8,0.07,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-25,SR3F21022531,0,PEMA023106100,11,1,사용수,30,5634,56.34,0,KG,,27,60,1,
SR13801,A,WO,20000,2021-02-25,SR3F21022531,0,PEMA023106100,11,2,액상리그닌,3,10,0.1,0,KG,,0,0,1,
SR16600,A,WO,20000,2021-02-25,SR3F21022531,0,PEMA023106100,11,8,RA-300S,1,40,0.4,0,KG,,0,5,1,
SR35217,A,WO,20000,2021-02-25,SR3F21022531,0,PEMA023106100,11,6,SRE-110(50%),24,645,6.45,0,KG,,0,15,1,
SR35218,A,WO,20000,2021-02-25,SR3F21022531,0,PEMA023106100,11,5,WRE-580FX(55%),16,1954,19.54,0,KG,,0,15,1,
SR35500,A,WO,20000,2021-02-25,SR3F21022531,0,PEMA023106100,11,7,PEMA-500FR,13,1700,17,0,KG,,0,10,1,
SR38117,A,WO,20000,2021-02-25,SR3F21022531,0,PEMA023106100,11,3,PC소포제,0,7,0.07,0,KG,,0,0,1,
SR68222,A,WO,20000,2021-02-25,SR3F21022531,0,PEMA023106100,11,4,소포제(MR-130),0,10,0.1,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-26,500F21022610,0,PEMA023058600,513,1,사용수,30,802.5,5.35,0,KG,,0,60,1,
SR13801,A,WO,20000,2021-02-26,500F21022610,0,PEMA023058600,513,2,액상리그닌,3,22.5,0.15,0,KG,,0,0,1,
SR35218,A,WO,20000,2021-02-26,500F21022610,0,PEMA023058600,513,3,WRE-580FX(55%),16,8181,54.54,0,KG,,0,15,1,
SR35225,A,WO,20000,2021-02-26,500F21022610,0,PEMA023058600,513,4,WRE-550T,21,5994,39.96,0,KG,,0,15,1,
SR11002,A,WO,20000,2021-02-26,580F21022611,0,PEMA043090700,20,1,사용수,30,1519.5,10.13,0,KG,,0,60,1,
SR13801,A,WO,20000,2021-02-26,580F21022611,0,PEMA043090700,20,2,액상리그닌,3,30,0.2,0,KG,,0,0,1,
SR35218,A,WO,20000,2021-02-26,580F21022611,0,PEMA043090700,20,3,WRE-580FX(55%),16,8590.5,57.27,0,KG,,0,15,1,
SR35224,A,WO,20000,2021-02-26,580F21022611,0,PEMA043090700,20,4,WRE-770,18,4050,27,0,KG,,0,20,1,
SR35755,A,WO,20000,2021-02-26,580F21022611,0,PEMA043090700,20,5,Urea,0,810,5.4,0,KG,,0,0,1,
PEMA043045700,A,WO,20000,2021-02-26,CSA521022529,0,PEMA013072700,200,8,PEMA-HR1500 신송,0,2000,20,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-26,CSA521022529,0,PEMA013072700,200,1,사용수,30,5249,52.49,0,KG,재활용수800kg적용,0,0,1,
SR13801,A,WO,20000,2021-02-26,CSA521022529,0,PEMA013072700,200,2,액상리그닌,3,9,0.09,0,KG,,0,0,1,
SR16600,A,WO,20000,2021-02-26,CSA521022529,0,PEMA013072700,200,6,RA-300S,1,370,3.7,0,KG,,0,0,1,
SR35224,A,WO,20000,2021-02-26,CSA521022529,0,PEMA013072700,200,4,WRE-770,18,794,7.94,0,KG,,0,0,1,
SR35903,A,WO,20000,2021-02-26,CSA521022529,0,PEMA013072700,200,7,PCA3000,10,370,3.7,0,KG,마지막투입,0,0,1,
SR35904,A,WO,20000,2021-02-26,CSA521022529,0,PEMA013072700,200,5,Urea-20%,4,1200,12,0,KG,,0,0,1,
SR68222,A,WO,20000,2021-02-26,CSA521022529,0,PEMA013072700,200,3,소포제(MR-130),0,8,0.08,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-26,CSA521022602,0,PEMA003039101,71,1,사용수,30,7263,72.63,0,KG,재활용수금지,17,60,1,
SR16002,A,WO,20000,2021-02-26,CSA521022602,0,PEMA003039101,71,4,글루콘산소다,2,400,4,0,KG,,0,40,1,
SR16600,A,WO,20000,2021-02-26,CSA521022602,0,PEMA003039101,71,6,RA-300S,1,190,1.9,0,KG,,0,5,1,
SR35224,A,WO,20000,2021-02-26,CSA521022602,0,PEMA003039101,71,5,WRE-770,18,2130,21.3,0,KG,,0,20,1,
SR38117,A,WO,20000,2021-02-26,CSA521022602,0,PEMA003039101,71,2,PC소포제,0,7,0.07,0,KG,,0,0,1,
SR68222,A,WO,20000,2021-02-26,CSA521022602,0,PEMA003039101,71,3,소포제(MR-130),0,10,0.1,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-26,CSA521022605,0,PEMA033035307,55,1,사용수,30,4599,65.7,0,KG,재활용수금지,21,45,1,
SR13801,A,WO,20000,2021-02-26,CSA521022605,0,PEMA033035307,55,2,액상리그닌,3,3.5,0.05,0,KG,,0,0,1,
SR35224,A,WO,20000,2021-02-26,CSA521022605,0,PEMA033035307,55,4,WRE-770,18,1344,19.2,0,KG,,0,20,1,
SR35500,A,WO,20000,2021-02-26,CSA521022605,0,PEMA033035307,55,6,PEMA-500FR,13,672,9.6,0,KG,,0,10,1,
SR35556,A,WO,20000,2021-02-26,CSA521022605,0,PEMA033035307,55,5,PEMA-630XR,11,224,3.2,0,KG,,0,15,1,
SR35903,A,WO,20000,2021-02-26,CSA521022605,0,PEMA033035307,55,7,PCA3000,10,140,2,0,KG,마지막투입,0,30,1,
SR68222,A,WO,20000,2021-02-26,CSA521022605,0,PEMA033035307,55,3,소포제(MR-130),0,17.5,0.25,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-26,CSA521022615,0,PEMA023105210,29,1,사용수,30,10485,69.9,0,KG,재활용수1000KG적용,15,60,1,
SR13801,A,WO,20000,2021-02-26,CSA521022615,0,PEMA023105210,29,2,액상리그닌,3,750,5,0,KG,,0,0,1,
SR16600,A,WO,20000,2021-02-26,CSA521022615,0,PEMA023105210,29,6,RA-300S,1,750,5,0,KG,,0,5,1,
SR35224,A,WO,20000,2021-02-26,CSA521022615,0,PEMA023105210,29,4,WRE-770,18,2100,14,0,KG,,0,20,1,
SR35903,A,WO,20000,2021-02-26,CSA521022615,0,PEMA023105210,29,7,PCA3000,10,600,4,0,KG,마지막 투입해주세요,0,20,1,
SR35904,A,WO,20000,2021-02-26,CSA521022615,0,PEMA023105210,29,5,Urea-20%,4,300,2,0,KG,,0,25,1,
SR68222,A,WO,20000,2021-02-26,CSA521022615,0,PEMA023105210,29,3,소포제(MR-130),0,15,0.1,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-26,CSA521022617,0,PEMA043080115,13,1,사용수,30,4213.8,70.23,0,KG,,16.2,45,1,
SR13801,A,WO,20000,2021-02-26,CSA521022617,0,PEMA043080115,13,2,액상리그닌,3,6,0.1,0,KG,,0,0,1,
SR16600,A,WO,20000,2021-02-26,CSA521022617,0,PEMA043080115,13,8,RA-300S,1,30,0.5,0,KG,,0,5,1,
SR35224,A,WO,20000,2021-02-26,CSA521022617,0,PEMA043080115,13,5,WRE-770,18,870,14.5,0,KG,,0,20,1,
SR35225,A,WO,20000,2021-02-26,CSA521022617,0,PEMA043080115,13,6,WRE-550T,21,522,8.7,0,KG,,0,15,1,
SR35228,A,WO,20000,2021-02-26,CSA521022617,0,PEMA043080115,13,7,SRE-200SD-T,14,348,5.8,0,KG,,0,10,1,
SR38117,A,WO,20000,2021-02-26,CSA521022617,0,PEMA043080115,13,3,PC소포제,0,4.2,0.07,0,KG,,0,0,1,
SR68222,A,WO,20000,2021-02-26,CSA521022617,0,PEMA043080115,13,4,소포제(MR-130),0,6,0.1,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-26,CSA521022618,0,PEMA083017000,1,1,사용수,30,9779,69.85,0,KG,재활용수1000kg,21,60,1,
SR13801,A,WO,20000,2021-02-26,CSA521022618,0,PEMA083017000,1,2,액상리그닌,3,7,0.05,0,KG,,0,0,1,
SR16600,A,WO,20000,2021-02-26,CSA521022618,0,PEMA083017000,1,7,RA-300S,1,182,1.3,0,KG,,0,5,1,
SR35224,A,WO,20000,2021-02-26,CSA521022618,0,PEMA083017000,1,4,WRE-770,18,1792,12.8,0,KG,,0,20,1,
SR35225,A,WO,20000,2021-02-26,CSA521022618,0,PEMA083017000,1,5,WRE-550T,21,448,3.2,0,KG,,0,15,1,
SR35904,A,WO,20000,2021-02-26,CSA521022618,0,PEMA083017000,1,6,Urea-20%,4,1778,12.7,0,KG,,0,25,1,
SR68222,A,WO,20000,2021-02-26,CSA521022618,0,PEMA083017000,1,3,소포제(MR-130),0,14,0.1,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-26,HR1021022606,0,PEMA023024802,97,1,사용수,30,7004,70.04,0,KG,재활용수금지,30,60,1,
SR13801,A,WO,20000,2021-02-26,HR1021022606,0,PEMA023024802,97,2,액상리그닌,3,10,0.1,0,KG,,0,0,1,
SR35218,A,WO,20000,2021-02-26,HR1021022606,0,PEMA023024802,97,4,WRE-580FX(55%),16,2327,23.27,0,KG,,0,15,1,
SR35225,A,WO,20000,2021-02-26,HR1021022606,0,PEMA023024802,97,5,WRE-550T,21,639,6.39,0,KG,,0,15,1,
SR38117,A,WO,20000,2021-02-26,HR1021022606,0,PEMA023024802,97,3,PC소포제,0,20,0.2,0,KG,,0,0,1,
PEMA043045700,A,WO,20000,2021-02-26,HR1021022608,0,PEMA013010100,196,9,PEMA-HR1500 신송,0,1000,10,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-26,HR1021022608,0,PEMA013010100,196,1,사용수,30,4624,46.24,0,KG,재활용수800kg적용,19,60,1,
SR13801,A,WO,20000,2021-02-26,HR1021022608,0,PEMA013010100,196,2,액상리그닌,3,10,0.1,0,KG,,0,0,1,
SR16002,A,WO,20000,2021-02-26,HR1021022608,0,PEMA013010100,196,4,글루콘산소다,2,300,3,0,KG,,0,40,1,
SR16600,A,WO,20000,2021-02-26,HR1021022608,0,PEMA013010100,196,7,RA-300S,1,1245,12.45,0,KG,,0,5,1,
SR35224,A,WO,20000,2021-02-26,HR1021022608,0,PEMA013010100,196,5,WRE-770,18,497,4.97,0,KG,,0,20,1,
SR35903,A,WO,20000,2021-02-26,HR1021022608,0,PEMA013010100,196,8,PCA3000,10,365,3.65,0,KG,마지막투입,0,20,1,
SR35904,A,WO,20000,2021-02-26,HR1021022608,0,PEMA013010100,196,6,Urea-20%,4,1950,19.5,0,KG,,0,25,1,
SR68222,A,WO,20000,2021-02-26,HR1021022608,0,PEMA013010100,196,3,소포제(MR-130),0,9,0.09,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-26,HR1021022609,0,PEMA063041501,444,1,사용수,30,4165,59.5,0,KG,재활용수560kg,14,0,1,
SR13801,A,WO,20000,2021-02-26,HR1021022609,0,PEMA063041501,444,2,액상리그닌,3,7,0.1,0,KG,,0,0,1,
SR16600,A,WO,20000,2021-02-26,HR1021022609,0,PEMA063041501,444,7,RA-300S,1,238,3.4,0,KG,,0,0,1,
SR35224,A,WO,20000,2021-02-26,HR1021022609,0,PEMA063041501,444,4,WRE-770,18,1043,14.9,0,KG,,0,0,1,
SR35225,A,WO,20000,2021-02-26,HR1021022609,0,PEMA063041501,444,5,WRE-550T,21,140,2,0,KG,,0,0,1,
SR35903,A,WO,20000,2021-02-26,HR1021022609,0,PEMA063041501,444,8,PCA3000,10,280,4,0,KG,마지막투입,0,0,1,
SR35904,A,WO,20000,2021-02-26,HR1021022609,0,PEMA063041501,444,6,Urea-20%,4,1120,16,0,KG,,0,0,1,
SR68222,A,WO,20000,2021-02-26,HR1021022609,0,PEMA063041501,444,3,소포제(MR-130),0,7,0.1,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-26,HR1021022612,0,PEMA013047000,90,1,사용수,30,6730,67.3,0,KG,재활용수800kg,20,45,1,
SR13801,A,WO,20000,2021-02-26,HR1021022612,0,PEMA013047000,90,2,액상리그닌,3,10,0.1,0,KG,,0,0,1,
SR16002,A,WO,20000,2021-02-26,HR1021022612,0,PEMA013047000,90,4,글루콘산소다,2,300,3,0,KG,,0,35,1,
SR16600,A,WO,20000,2021-02-26,HR1021022612,0,PEMA013047000,90,7,RA-300S,1,300,3,0,KG,,0,5,1,
SR35224,A,WO,20000,2021-02-26,HR1021022612,0,PEMA013047000,90,5,WRE-770,18,2400,24,0,KG,,0,20,1,
SR35904,A,WO,20000,2021-02-26,HR1021022612,0,PEMA013047000,90,6,Urea-20%,4,250,2.5,0,KG,,0,40,1,
SR68222,A,WO,20000,2021-02-26,HR1021022612,0,PEMA013047000,90,3,소포제(MR-130),0,10,0.1,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-26,HR1021022614,0,PEMA013004500,64,1,사용수,30,6748,67.48,0,KG,재활용수800KG,52,60,1,
SR13801,A,WO,20000,2021-02-26,HR1021022614,0,PEMA013004500,64,2,액상리그닌,3,10,0.1,0,KG,,0,0,1,
SR16002,A,WO,20000,2021-02-26,HR1021022614,0,PEMA013004500,64,5,글루콘산소다,2,500,5,0,KG,,0,40,1,
SR16600,A,WO,20000,2021-02-26,HR1021022614,0,PEMA013004500,64,9,RA-300S,1,300,3,0,KG,,0,5,1,
SR35224,A,WO,20000,2021-02-26,HR1021022614,0,PEMA013004500,64,6,WRE-770,18,1400,14,0,KG,,0,20,1,
SR35228,A,WO,20000,2021-02-26,HR1021022614,0,PEMA013004500,64,7,SRE-200SD-T,14,200,2,0,KG,,0,10,1,
SR35904,A,WO,20000,2021-02-26,HR1021022614,0,PEMA013004500,64,8,Urea-20%,4,800,8,0,KG,,0,25,1,
SR38117,A,WO,20000,2021-02-26,HR1021022614,0,PEMA013004500,64,3,PC소포제,0,12,0.12,0,KG,,0,0,1,
SR68222,A,WO,20000,2021-02-26,HR1021022614,0,PEMA013004500,64,4,소포제(MR-130),0,30,0.3,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-26,HR1021022619,0,PEMA013032302,64,1,사용수,30,3626,51.8,0,KG,재활용수560kg적용!,14,45,1,
SR13801,A,WO,20000,2021-02-26,HR1021022619,0,PEMA013032302,64,2,액상리그닌,3,7,0.1,0,KG,,0,0,1,
SR16600,A,WO,20000,2021-02-26,HR1021022619,0,PEMA013032302,64,6,RA-300S,1,1085,15.5,0,KG,,0,5,1,
SR35224,A,WO,20000,2021-02-26,HR1021022619,0,PEMA013032302,64,4,WRE-770,18,560,8,0,KG,,0,20,1,
SR35903,A,WO,20000,2021-02-26,HR1021022619,0,PEMA013032302,64,7,PCA3000,10,280,4,0,KG,마지막투입,0,30,1,
SR35904,A,WO,20000,2021-02-26,HR1021022619,0,PEMA013032302,64,5,Urea-20%,4,1435,20.5,0,KG,,0,40,1,
SR68222,A,WO,20000,2021-02-26,HR1021022619,0,PEMA013032302,64,3,소포제(MR-130),0,7,0.1,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-26,HR1021022622,0,PEMA033041500,229,1,사용수,30,5990,59.9,0,KG,재활용수800kg,20,60,1,
SR13801,A,WO,20000,2021-02-26,HR1021022622,0,PEMA033041500,229,2,액상리그닌,3,10,0.1,0,KG,,0,0,1,
SR16600,A,WO,20000,2021-02-26,HR1021022622,0,PEMA033041500,229,6,RA-300S,1,800,8,0,KG,,0,5,1,
SR35224,A,WO,20000,2021-02-26,HR1021022622,0,PEMA033041500,229,4,WRE-770,18,1200,12,0,KG,,0,20,1,
SR35903,A,WO,20000,2021-02-26,HR1021022622,0,PEMA033041500,229,7,PCA3000,10,640,6.4,0,KG,마지막투입,0,30,1,
SR35904,A,WO,20000,2021-02-26,HR1021022622,0,PEMA033041500,229,5,Urea-20%,4,1350,13.5,0,KG,,0,40,1,
SR68222,A,WO,20000,2021-02-26,HR1021022622,0,PEMA033041500,229,3,소포제(MR-130),0,10,0.1,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-26,PCM221022623,0,PEMA043031600,10,1,사용수,30,5816,72.7,0,KG,사용수+VK교반 후 PC혼합,28,60,1,
SR13801,A,WO,20000,2021-02-26,PCM221022623,0,PEMA043031600,10,2,액상리그닌,3,4,0.05,0,KG,,0,0,1,
SR16600,A,WO,20000,2021-02-26,PCM221022623,0,PEMA043031600,10,9,RA-300S,1,68,0.85,0,KG,,0,5,1,
SR34364,A,WO,20000,2021-02-26,PCM221022623,0,PEMA043031600,10,8,PEMA-550XD,15,240,3,0,KG,,0,10,1,
SR35500,A,WO,20000,2021-02-26,PCM221022623,0,PEMA043031600,10,7,PEMA-500FR,13,1600,20,0,KG,,0,10,1,
SR35556,A,WO,20000,2021-02-26,PCM221022623,0,PEMA043031600,10,6,PEMA-630XR,11,160,2,0,KG,,0,15,1,
SR35905,A,WO,20000,2021-02-26,PCM221022623,0,PEMA043031600,10,5,VK1000,0,88,1.1,0,KG,마지막투입,0,0,1,
SR38117,A,WO,20000,2021-02-26,PCM221022623,0,PEMA043031600,10,3,PC소포제,0,8,0.1,0,KG,,0,0,1,
SR68222,A,WO,20000,2021-02-26,PCM221022623,0,PEMA043031600,10,4,소포제(MR-130),0,16,0.2,0,KG,,0,0,1,
SR35217,A,WO,20000,2021-02-26,PEMA21022501,0,PCA031024602,10,1,SRE-110(50%),24,39600,100,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-26,PR2021022607,0,PEMA023045801,65,1,사용수,30,2150.4,71.68,0,KG,,6,60,1,
SR13801,A,WO,20000,2021-02-26,PR2021022607,0,PEMA023045801,65,2,액상리그닌,3,3,0.1,0,KG,,0,0,1,
SR35210,A,WO,20000,2021-02-26,PR2021022607,0,PEMA023045801,65,5,PEMA-WRE-600(5,0,270,9,0,KG,,0,0,1,
SR35218,A,WO,20000,2021-02-26,PR2021022607,0,PEMA023045801,65,4,WRE-580FX(55%),16,528.6,17.62,0,KG,,0,15,1,
SR35758,A,WO,20000,2021-02-26,PR2021022607,0,PEMA023045801,65,6,M30,7,45,1.5,0,KG,마지막투입,0,30,1,
SR38117,A,WO,20000,2021-02-26,PR2021022607,0,PEMA023045801,65,3,PC소포제,0,3,0.1,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-26,PR2021022607,1,PEMA023045801,65,1,사용수,30,15769.6,71.68,0,KG,,44,60,1,
SR13801,A,WO,20000,2021-02-26,PR2021022607,1,PEMA023045801,65,2,액상리그닌,3,22,0.1,0,KG,,0,0,1,
SR35210,A,WO,20000,2021-02-26,PR2021022607,1,PEMA023045801,65,5,PEMA-WRE-600(5,0,1980,9,0,KG,,0,0,1,
SR35218,A,WO,20000,2021-02-26,PR2021022607,1,PEMA023045801,65,4,WRE-580FX(55%),16,3876.4,17.62,0,KG,,0,15,1,
SR35758,A,WO,20000,2021-02-26,PR2021022607,1,PEMA023045801,65,6,M30,7,330,1.5,0,KG,마지막투입,0,30,1,
SR38117,A,WO,20000,2021-02-26,PR2021022607,1,PEMA023045801,65,3,PC소포제,0,22,0.1,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-26,PR2021022624,0,PEMA023901510,151,1,사용수,30,6619,66.19,0,KG,재활용수금지!,20,60,1,
SR13801,A,WO,20000,2021-02-26,PR2021022624,0,PEMA023901510,151,2,액상리그닌,3,10,0.1,0,KG,,0,0,1,
